timestamp,latitude,longitude,traffic_volume,avg_speed_kmh,congestion_level,road_id,city
2025-07-26 09:28:12.516681,28.663571415301124,77.3489355436586,100.3,24.9,Medium,RD_000,Delhi
2025-07-26 10:28:12.516681,28.600073569882884,77.30146336829128,25.0,44.5,Low,RD_001,Delhi
2025-07-26 11:28:12.516681,28.67866885381007,77.21496303699202,22.0,45.4,Low,RD_002,Delhi
2025-07-26 12:28:12.516681,28.766202985640803,77.14430632222944,28.0,53.6,Low,RD_003,Delhi
2025-07-26 13:28:12.516681,28.59048466252767,77.27882233136137,59.0,33.3,Low,RD_004,Delhi
2025-07-26 14:28:12.516681,28.590486304305085,77.24834853854217,59.0,50.3,Low,RD_005,Delhi
2025-07-26 15:28:12.516681,28.77182128155074,77.29851932200278,52.0,49.4,Low,RD_006,Delhi
2025-07-26 16:28:12.516681,28.69064347291529,77.2725171801682,16.0,52.2,Low,RD_007,Delhi
2025-07-26 17:28:12.516681,28.566952561406506,77.31395527153194,94.19999999999999,30.7,Medium,RD_008,Delhi
2025-07-26 18:28:12.516681,28.668156004358597,77.15547647884395,97.5,21.8,Medium,RD_009,Delhi
2025-07-26 19:28:12.516681,28.567558230718756,77.34073940656343,75.69999999999999,39.3,Low,RD_010,Delhi
2025-07-26 20:28:12.516681,28.567327024642974,77.22875996046925,61.0,32.7,Low,RD_011,Delhi
2025-07-26 21:28:12.516681,28.638096227156606,77.41652608726253,53.0,36.1,Low,RD_012,Delhi
2025-07-26 22:28:12.516681,28.422571975534222,77.14008121819104,27.9,54.6,Low,RD_013,Delhi
2025-07-26 23:28:12.516681,28.441408216748698,77.38259638031653,43.099999999999994,43.1,Low,RD_014,Delhi
2025-07-27 00:28:12.516681,28.557671247075902,77.22879107834626,53.0,34.1,Low,RD_015,Delhi
2025-07-27 01:28:12.516681,28.51261688796656,77.14385819963856,52.199999999999996,46.3,Low,RD_016,Delhi
2025-07-27 02:28:12.516681,28.645324733259528,77.16061141659458,33.0,58.1,Low,RD_017,Delhi
2025-07-27 03:28:12.516681,28.52309759244788,77.17696526918057,41.8,53.5,Low,RD_018,Delhi
2025-07-27 04:28:12.516681,28.472669629866473,77.25141659464019,38.4,47.5,Low,RD_019,Delhi
2025-07-27 05:28:12.516681,28.760464876892158,77.26128354880355,42.3,44.3,Low,RD_020,Delhi
2025-07-27 06:28:12.516681,28.591322369951346,77.15162999960614,34.0,56.8,Low,RD_021,Delhi
2025-07-27 07:28:12.516681,28.620652820468795,77.20656454077391,108.1,30.6,Medium,RD_022,Delhi
2025-07-27 08:28:12.516681,28.471425181378656,77.42322703586119,80.1,29.0,Medium,RD_023,Delhi
2025-07-27 09:28:12.516681,28.559461727547482,77.38175431701008,80.39999999999999,32.9,Medium,RD_024,Delhi
2025-07-27 10:28:12.516681,28.624992258970988,77.2526323669674,32.0,51.4,Low,RD_025,Delhi
2025-07-27 11:28:12.516681,28.49880064225777,77.21280034781682,45.0,49.5,Low,RD_026,Delhi
2025-07-27 12:28:12.516681,28.65146980183457,77.22100313267183,48.0,52.6,Low,RD_027,Delhi
2025-07-27 13:28:12.516681,28.553836131008122,77.27035179727305,48.0,45.6,Low,RD_028,Delhi
2025-07-27 14:28:12.516681,28.584730625020672,77.10672074348017,55.0,44.5,Low,RD_029,Delhi
2025-07-27 15:28:12.516681,28.55372933877706,77.18326234625766,63.0,45.1,Low,RD_030,Delhi
2025-07-27 16:28:12.516681,28.799127818450895,77.04214159261224,45.0,52.5,Low,RD_031,Delhi
2025-07-27 17:28:12.516681,28.612550277526207,77.24892231226053,94.6,38.6,Medium,RD_032,Delhi
2025-07-27 18:28:12.516681,28.50812890710441,77.27371959397028,92.69999999999999,27.2,Medium,RD_033,Delhi
2025-07-27 19:28:12.516681,28.69615449121032,77.16068135377006,83.19999999999999,42.0,Medium,RD_034,Delhi
2025-07-27 20:28:12.516681,28.491815635002897,77.36639867632901,22.0,51.4,Low,RD_035,Delhi
2025-07-27 21:28:12.516681,28.634786359500477,77.08642343369976,20.0,48.0,Low,RD_036,Delhi
2025-07-27 22:28:12.516681,28.417932987612023,77.06256251197902,36.7,49.0,Low,RD_037,Delhi
2025-07-27 23:28:12.516681,28.48108139511016,77.231445181856,17.799999999999997,54.7,Low,RD_038,Delhi
2025-07-28 00:28:12.516681,28.633586123586912,77.31370983026122,36.0,40.2,Low,RD_039,Delhi
2025-07-28 01:28:12.516681,28.687746657999543,77.37739276914579,24.0,45.8,Low,RD_040,Delhi
2025-07-28 02:28:12.516681,28.631036828118997,77.16311157371311,41.0,55.7,Low,RD_041,Delhi
2025-07-28 03:28:12.516681,28.602335171761176,77.31686808334314,40.0,54.0,Low,RD_042,Delhi
2025-07-28 04:28:12.516681,28.58378963044107,77.20514915304993,62.0,42.4,Low,RD_043,Delhi
